attack_name,source_level,resistance_score,resist_0,resist_25,resist_50,resist_75,misses,hits,analysis
Area Burn,27,143,0,0,0,2,5,2,"Hits: 28.57%, [ 8.22%, 64.11%], 2 / 7 attacks; Misses: 71.43%, [35.89%, 91.78%], 5 / 7 attacks; 0% resist:  0.00%, [ 0.00%, 65.76%], 0 / 2 hits; 25% resist:  0.00%, [ 0.00%, 65.76%], 0 / 2 hits; 50% resist:  0.00%, [ 0.00%, 65.76%], 0 / 2 hits; 75% resist: 100.00%, [34.24%, 100.00%], 2 / 2 hits"
Fire Shield Effect II,24,85,0,5,16,5,235,26,"Hits:  9.96%, [ 6.89%, 14.20%], 26 / 261 attacks; Misses: 90.04%, [85.80%, 93.11%], 235 / 261 attacks; 0% resist:  0.00%, [ 0.00%, 12.87%], 0 / 26 hits; 25% resist: 19.23%, [ 8.51%, 37.88%], 5 / 26 hits; 50% resist: 61.54%, [42.53%, 77.57%], 16 / 26 hits; 75% resist: 19.23%, [ 8.51%, 37.88%], 5 / 26 hits"
Fire Shield Effect II,24,86,0,5,9,7,195,21,"Hits:  9.72%, [ 6.45%, 14.41%], 21 / 216 attacks; Misses: 90.28%, [85.59%, 93.55%], 195 / 216 attacks; 0% resist:  0.00%, [ 0.00%, 15.46%], 0 / 21 hits; 25% resist: 23.81%, [10.63%, 45.09%], 5 / 21 hits; 50% resist: 42.86%, [24.47%, 63.45%], 9 / 21 hits; 75% resist: 33.33%, [17.19%, 54.63%], 7 / 21 hits"
Fire Shield Effect II,24,143,0,0,1,2,26,3,"Hits: 10.34%, [ 3.58%, 26.39%], 3 / 29 attacks; Misses: 89.66%, [73.61%, 96.42%], 26 / 29 attacks; 0% resist:  0.00%, [ 0.00%, 56.15%], 0 / 3 hits; 25% resist:  0.00%, [ 0.00%, 56.15%], 0 / 3 hits; 50% resist: 33.33%, [ 6.15%, 79.23%], 1 / 3 hits; 75% resist: 66.67%, [20.77%, 93.85%], 2 / 3 hits"
Fire Shield Effect II,25,143,0,0,0,1,3,1,"Hits: 25.00%, [ 4.56%, 69.94%], 1 / 4 attacks; Misses: 75.00%, [30.06%, 95.44%], 3 / 4 attacks; 0% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits; 25% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits; 50% resist:  0.00%, [ 0.00%, 79.35%], 0 / 1 hits; 75% resist: 100.00%, [20.65%, 100.00%], 1 / 1 hits"
Fireball,7,40,3,6,10,2,138,21,"Hits: 13.21%, [ 8.80%, 19.35%], 21 / 159 attacks; Misses: 86.79%, [80.65%, 91.20%], 138 / 159 attacks; 0% resist: 14.29%, [ 4.98%, 34.64%], 3 / 21 hits; 25% resist: 28.57%, [13.81%, 49.96%], 6 / 21 hits; 50% resist: 47.62%, [28.34%, 67.63%], 10 / 21 hits; 75% resist:  9.52%, [ 2.65%, 28.91%], 2 / 21 hits"
Fireball,7,50,0,7,9,4,255,20,"Hits:  7.27%, [ 4.76%, 10.97%], 20 / 275 attacks; Misses: 92.73%, [89.03%, 95.24%], 255 / 275 attacks; 0% resist:  0.00%, [ 0.00%, 16.11%], 0 / 20 hits; 25% resist: 35.00%, [18.12%, 56.71%], 7 / 20 hits; 50% resist: 45.00%, [25.82%, 65.79%], 9 / 20 hits; 75% resist: 20.00%, [ 8.07%, 41.60%], 4 / 20 hits"
Fireball,7,68,0,1,8,1,75,10,"Hits: 11.76%, [ 6.52%, 20.32%], 10 / 85 attacks; Misses: 88.24%, [79.68%, 93.48%], 75 / 85 attacks; 0% resist:  0.00%, [ 0.00%, 27.75%], 0 / 10 hits; 25% resist: 10.00%, [ 1.79%, 40.42%], 1 / 10 hits; 50% resist: 80.00%, [49.02%, 94.33%], 8 / 10 hits; 75% resist: 10.00%, [ 1.79%, 40.42%], 1 / 10 hits"
Fireball,8,0,4,0,0,0,17,4,"Hits: 19.05%, [ 7.67%, 40.00%], 4 / 21 attacks; Misses: 80.95%, [60.00%, 92.33%], 17 / 21 attacks; 0% resist: 100.00%, [51.01%, 100.00%], 4 / 4 hits; 25% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 50% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits; 75% resist:  0.00%, [ 0.00%, 48.99%], 0 / 4 hits"
Fireball,8,40,4,9,0,0,166,13,"Hits:  7.26%, [ 4.29%, 12.03%], 13 / 179 attacks; Misses: 92.74%, [87.97%, 95.71%], 166 / 179 attacks; 0% resist: 30.77%, [12.68%, 57.63%], 4 / 13 hits; 25% resist: 69.23%, [42.37%, 87.32%], 9 / 13 hits; 50% resist:  0.00%, [ 0.00%, 22.81%], 0 / 13 hits; 75% resist:  0.00%, [ 0.00%, 22.81%], 0 / 13 hits"
